// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
49825	-54.0000	-1.648468	2.347853	9.603924	-0.122367	-0.072325	0.209519	0.025084	0.091065	-0.117694	-0.988547
49826	-54.0000	-1.681766	2.480202	9.648611	-0.067601	-0.123584	0.289548	0.025995	0.089629	-0.120822	-0.988278
49827	-54.0000	-1.460627	2.592073	9.505031	-0.223852	-0.219916	0.142164	0.027192	0.088018	-0.123552	-0.988053
49828	-55.0000	-1.339360	2.407675	9.382139	-0.292679	-0.022858	-0.038805	0.028649	0.086289	-0.126235	-0.987825
49829	-55.0000	-1.466375	2.323542	9.335540	-0.125568	0.121039	-0.082814	0.030236	0.084335	-0.129747	-0.987491
49830	-56.0000	-1.577604	2.357715	9.151902	0.058991	0.135027	-0.232376	0.032019	0.082022	-0.134407	-0.987007
49831	-56.0000	-1.486748	2.637882	9.190932	0.021968	-0.031084	-0.135942	0.034061	0.079458	-0.139815	-0.986397
49832	-56.0000	-1.115028	3.147121	9.388850	-0.301163	-0.391300	0.139853	0.036445	0.076817	-0.145110	-0.985756
49833	-56.0000	-1.099975	3.358228	9.280659	-0.229069	-0.525638	0.101371	0.039266	0.073979	-0.149220	-0.985251
49834	-56.0000	-1.321203	3.073482	9.010142	0.079042	-0.229162	-0.204617	0.042288	0.070931	-0.152510	-0.984846
49835	-57.0000	-1.371892	2.792967	8.817956	0.204292	0.061283	-0.464275	0.045206	0.067793	-0.156188	-0.984361
