// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
49825	-67.0000	-0.448592	-1.771109	10.263318	-0.049787	-0.320381	0.606936	0.993763	-0.064411	0.026696	-0.087025
49826	-65.0000	-0.637838	-1.497647	10.264904	-0.186147	-0.056735	0.578658	0.993953	-0.062561	0.026867	-0.086149
49827	-65.0000	-0.612752	-1.117725	10.254818	-0.100336	0.278491	0.516805	0.994091	-0.061567	0.026684	-0.085327
49828	-66.0000	-0.362985	-1.144695	9.967748	0.116003	0.169585	0.225034	0.994133	-0.062174	0.026274	-0.084523
49829	-65.0000	-0.246058	-1.428486	9.729007	0.164511	-0.132828	0.021430	0.994079	-0.064020	0.025971	-0.083867
49830	-65.0000	-0.366693	-1.892644	9.682466	-0.032973	-0.530664	0.045500	0.993977	-0.066342	0.025798	-0.083322
49831	-66.0000	-0.389632	-2.113823	9.628945	-0.093676	-0.707052	0.027425	0.993878	-0.068378	0.025593	-0.082921
49832	-65.0000	-0.337318	-2.006616	9.596218	-0.027158	-0.578088	-0.020208	0.993775	-0.070164	0.025375	-0.082736
49833	-65.0000	-0.211198	-1.957066	9.517610	0.099562	-0.523101	-0.108260	0.993617	-0.072342	0.025204	-0.082809
49834	-66.0000	-0.163050	-2.115182	9.413007	0.115445	-0.653576	-0.186444	0.993399	-0.074990	0.025078	-0.083098
49835	-65.0000	-0.131514	-2.780374	9.533957	0.050644	-1.240297	0.041399	0.993174	-0.077324	0.025247	-0.083595
49836	-66.0000	-0.222495	-2.697800	9.620955	-0.018221	-1.102348	0.120836	0.993065	-0.077873	0.025235	-0.084381
49837	-67.0000	-0.269951	-2.283585	9.586424	-0.002079	-0.690209	0.021476	0.992984	-0.077906	0.025226	-0.085310
49838	-65.0000	-0.292207	-2.058725	9.415834	-0.001617	-0.491704	-0.182532	0.992874	-0.078043	0.025153	-0.086472
49839	-66.0000	-0.261145	-1.777978	9.306221	0.064744	-0.231612	-0.337600	0.992689	-0.078830	0.025028	-0.087904
49840	-68.0000	-0.320642	-1.886561	9.181422	-0.024842	-0.324431	-0.439615	0.992422	-0.080210	0.024847	-0.089706
49841	-66.0000	-0.251351	-2.051147	9.278196	0.016611	-0.456205	-0.318118	0.992136	-0.081352	0.024783	-0.091832
49842	-66.0000	-0.309743	-1.990318	9.362376	-0.030005	-0.355934	-0.242745	0.991877	-0.081813	0.024636	-0.094230
49843	-68.0000	-0.328390	-1.720104	9.288099	-0.011744	-0.093940	-0.361422	0.991611	-0.082078	0.024407	-0.096825
49844	-66.0000	-0.261001	-1.557669	9.177139	0.070510	0.042991	-0.501001	0.991287	-0.082812	0.024251	-0.099518
49845	-66.0000	-0.305391	-1.846267	9.233454	-0.027406	-0.197104	-0.393612	0.990905	-0.084097	0.024395	-0.102179
49846	-68.0000	-0.437901	-2.228520	9.231663	-0.231503	-0.517878	-0.322700	0.990578	-0.084819	0.024787	-0.104622
49847	-66.0000	-0.349106	-2.125051	9.395265	-0.109174	-0.405547	-0.182925	0.990361	-0.084391	0.025316	-0.106878
49848	-67.0000	-0.274906	-1.797896	9.544093	0.046636	-0.097261	-0.097440	0.990212	-0.083212	0.025968	-0.109004
49849	-71.0000	-0.266917	-1.479485	9.662477	0.138867	0.205019	-0.037094	0.990050	-0.082229	0.026758	-0.111008
49850	-67.0000	-0.228408	-1.502586	9.702365	0.186183	0.164990	0.004844	0.989862	-0.081717	0.027586	-0.112850
49851	-67.0000	-0.283568	-1.575356	9.717177	0.129589	0.099798	0.034085	0.989688	-0.081284	0.028309	-0.114496
